@id,@lat,@lon,name,tourism
260589430,-34.4474781,116.0569315,Gloucester Tree,attraction
260591287,-34.4083724,116.0286743,Big Brook Dam,attraction
260715518,-37.8647452,144.2448655,Outlook,viewpoint
262547538,-26.6557512,152.645472,Booloumba Lookout,viewpoint
263675230,-37.6483158,145.3870183,Gulf Station,attraction
263682386,-34.4241398,150.9019575,,attraction
263845696,-33.7309927,150.3105089,Kedumba View,viewpoint
263845702,-33.7305309,150.3096578,,viewpoint
263845706,-33.7303169,150.3088832,Lady Darley Lookout,viewpoint
263845712,-33.7300986,150.3080884,Allambie Lookout,viewpoint
263845718,-33.729963,150.3076375,Allambie Lookout,viewpoint
263845747,-33.7275039,150.3044855,Duke & Duchess of York Lookout,viewpoint
263853370,-33.6319453,150.313931,Barrow Lookout,viewpoint
263853408,-33.6332896,150.3159212,,viewpoint
263853724,-33.6456965,150.3253738,Valley View Lookout,viewpoint
263853747,-33.6468138,150.3263141,Evans Lookout (Upper),viewpoint
263865767,-33.7225051,150.3211013,Bridal Veil Lookout,viewpoint
263865828,-33.7344703,150.314632,Oreades Lookout,viewpoint
263865831,-33.7347996,150.3148168,Lady Game Lookout,viewpoint
264002271,-34.7634688,150.0551135,Long Point Lookout,viewpoint
264003501,-34.798087,150.0081759,,viewpoint
264003508,-34.7986407,150.0189649,Bungonia Lookdown,viewpoint
264007821,-18.2502999,127.7228161,China Wall,attraction
264018004,-18.2261306,127.7587634,Caroline Pool,attraction
264028197,-40.7626458,145.3061441,Pinmatik / Rocky Cape Lookout,viewpoint
264028217,-40.7638025,145.2995376,Tatlows Beach Lookout,viewpoint
264028219,-40.762968,145.2990331,Highfield Lookout,viewpoint
264170812,-37.7382638,145.1621877,,viewpoint
264201779,-38.1294503,146.4401589,Peterson's Lookout,viewpoint
264201798,-38.1298419,146.4400902,Peterson's Lookout,viewpoint
264206378,-36.7181196,147.132108,Sullivan's Lookout,viewpoint
265022296,-39.0287473,146.3164234,Whale Rock,viewpoint
265550001,-34.6842375,150.2961207,Wishing Well (Natural Feature),attraction
265659669,-37.010207,144.0526654,Carmans Tunnel,attraction
265851927,-33.5363268,151.312154,,viewpoint
266152948,-37.9170513,145.3235979,,gallery
266155502,-37.91651,145.3345789,Burrinja,gallery
266737568,-37.8723815,145.3193837,One Tree Hill,attraction
266738718,-37.9082279,145.36513,,attraction
266757775,-34.9022781,138.7070832,Deep View Lookout,viewpoint
266946727,-38.3934611,146.5590593,Mount Tassie Lookout,viewpoint
267102664,-33.3279877,134.7997417,,viewpoint
267619832,-33.8518399,151.2471638,,viewpoint
267812553,-33.6551485,150.3311158,Point Pilcher,viewpoint
267851998,-34.386874,136.1109599,,viewpoint
267900096,-35.7863734,137.7781221,Strawbridge Point,attraction
267901467,-35.9935025,137.3184005,Seal Bay,attraction
267902113,-35.7526858,136.5905992,Cape Borda,attraction
267902114,-35.7473918,136.628708,Scott Cove,attraction
267902369,-35.6558255,137.1148062,King George Beach Shack Site,attraction
267902555,-35.9800986,136.9058982,Kelly Hill Caves,attraction
267904199,-36.0632077,136.7047395,Admirals Arch,attraction
267904440,-36.0481873,136.7571595,Remarkable Rocks,attraction
268211995,-30.9637854,138.6384729,Hannigan Gap,attraction
268213603,-30.993972,138.7130826,Artimore,attraction
268218334,-31.4718356,138.6972043,Hucks Lookout,viewpoint
268390383,-33.8443455,150.5856797,Nepean Lookout,viewpoint
268437941,-36.1392853,139.6426802,Pipe Clay Lake,attraction
268439617,-36.2586384,139.707405,Chinaman's Well,attraction
268577358,-34.7761697,135.9352086,Flinders Monument,attraction
268944528,-30.6669039,146.3962416,Byrock Rock Hole,attraction
268964303,-33.8407732,151.1320306,,viewpoint
268964306,-33.8411391,151.1301684,,viewpoint
269291347,-43.1396934,148.0053257,,viewpoint
269463766,-33.0830452,138.2353766,King Tree,attraction
270424594,-37.0583378,144.2239474,Buda Historic Home and Garden,attraction
270800741,-14.9154407,145.6903158,Challenger Bay,attraction
270802346,-14.9280802,145.6772796,Pixie Gardens,attraction
270802347,-14.929769,145.6755024,Pixie Pinnacle,attraction
270802348,-14.663675,145.6634652,Cod Hole,attraction
270802353,-15.5012397,145.7882636,Steve's Bommie,attraction
270802354,-15.5125869,145.7768157,Flare Point,attraction
270802401,-14.875091,145.689982,Lighthouse Bommie,attraction
270993431,-33.8021808,151.3031233,Blue Fish Wall,attraction
271104530,-31.9699631,116.0593013,Kalamunda History Village,museum
271672018,-33.7127383,150.633548,Warrimoo Lookout,viewpoint
271824235,-31.9702107,116.0546493,Stirk Cottage,museum
271864224,-34.0402476,151.1650275,,viewpoint
271875207,-34.0263407,151.1648475,Connell Hill,viewpoint
272305085,-33.8529539,151.1715912,,viewpoint
272305862,-33.8533958,151.1742091,,viewpoint
273117801,-33.7633368,150.2941149,The Ruined Castle,attraction
273211954,-34.9542748,138.6778941,Sugarloaf Hill,viewpoint
274233154,-32.0077286,116.1354448,Perth Observatory,attraction
274413510,-37.0064552,144.0478148,,viewpoint
274521487,-33.8681908,151.2190348,,viewpoint
275913933,-33.6994868,150.5689058,Braemar Gallery,gallery
276301629,-35.4536121,148.9349102,Xanthorrea forrest,attraction
